"No.","Time","Source","Destination","Protocol","Length","Info"
"445","34.867312115","192.168.209.220","192.168.209.97","DNS","85","Standard query response 0x6d26 Server failure PTR 1.143.158.51.in-addr.arpa"
"544","37.801899597","192.168.209.97","192.168.209.220","DNS","85","Standard query 0x5118 PTR 1.143.158.51.in-addr.arpa"
"545","37.848358797","192.168.209.220","192.168.209.97","DNS","85","Standard query response 0x5118 Server failure PTR 1.143.158.51.in-addr.arpa"
"546","37.849265133","192.168.209.97","192.168.209.220","DNS","86","Standard query 0x2176 PTR 104.2.154.195.in-addr.arpa"
"547","37.851712444","192.168.209.220","192.168.209.97","DNS","86","Standard query response 0x2176 No such name PTR 104.2.154.195.in-addr.arpa"
"548","37.852611649","192.168.209.97","192.168.209.220","DNS","86","Standard query 0x6af4 PTR 7.208.172.163.in-addr.arpa"
"549","37.907249260","192.168.209.220","192.168.209.97","DNS","120","Standard query response 0x6af4 PTR 7.208.172.163.in-addr.arpa PTR ping-ams1.online.net"
"550","37.908178818","192.168.209.97","192.168.209.220","DNS","85","Standard query 0x9cd9 PTR 3.143.158.51.in-addr.arpa"
"604","40.173373685","192.168.209.97","192.168.209.220","DNS","80","Standard query 0x21e4 A beacons.gcp.gvt2.com"
"605","40.173495587","192.168.209.97","192.168.209.220","DNS","80","Standard query 0x50e3 AAAA beacons.gcp.gvt2.com"
"606","40.177791043","192.168.209.220","192.168.209.97","DNS","138","Standard query response 0x21e4 A beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com A 172.217.166.227"
"624","40.735116383","192.168.209.220","192.168.209.97","DNS","138","Standard query response 0x50e3 AAAA beacons.gcp.gvt2.com CNAME beacons-handoff.gcp.gvt2.com AAAA 2404:6800:4002:809::2003"
"656","41.725075014","192.168.209.97","192.168.209.220","DNS","89","Standard query 0x301c AAAA connectivity-check.ubuntu.com"
"658","41.731282621","192.168.209.220","192.168.209.97","DNS","89","Standard query response 0x301c AAAA connectivity-check.ubuntu.com"
"659","41.732807750","192.168.209.97","192.168.209.220","DNS","89","Standard query 0x3ef5 A connectivity-check.ubuntu.com"
"660","41.732928360","192.168.209.97","192.168.209.220","DNS","89","Standard query 0x165d AAAA connectivity-check.ubuntu.com"
"661","41.735192394","192.168.209.220","192.168.209.97","DNS","137","Standard query response 0x3ef5 A connectivity-check.ubuntu.com A 35.232.111.17 A 34.122.121.32 A 35.224.170.84"
"662","41.735196396","192.168.209.220","192.168.209.97","DNS","89","Standard query response 0x165d AAAA connectivity-check.ubuntu.com"
"672","42.841136839","192.168.209.97","224.0.0.251","MDNS","200","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _nmea-0183._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"676","44.007051649","192.168.209.220","192.168.209.97","DNS","85","Standard query response 0x9cd9 Server failure PTR 3.143.158.51.in-addr.arpa"
